athlete_id,season,vertical,slj,stj,sprint_50,ohb,blf,sprint_150
119,2020-21,38.0,3.07,9.44,6.08,15.7,14.16,17.29
24,2020-21,36.5,3.06,8.91,6.23,17.03,15.66,17.14
43,2020-21,29.5,2.97,8.15,6.05,12.42,12.55,17.24
139,2020-21,32.0,3.02,8.81,6.32,17.4,15.14,17.19
67,2020-21,30.0,2.87,8.43,6.12,13.59,12.32,17.12
45,2020-21,34.5,2.88,7.77,5.7,12.71,11.81,
26,2020-21,36.5,3.09,8.5,6.14,11.12,11.79,17.14
21,2020-21,28.0,2.65,,6.06,12.14,11.08,16.78
88,2020-21,28.5,2.81,8.95,6.17,11.15,11.22,17.84
113,2020-21,33.0,2.79,8.51,6.3,11.98,13.13,
42,2020-21,33.0,3.07,8.77,6.64,13.96,12.62,
34,2020-21,31.0,2.74,8.3,6.26,8.99,12.77,
13,2020-21,29.0,2.77,8.15,6.4,9.56,9.93,17.84
53,2020-21,29.5,2.72,7.87,6.71,12.7,11.88,
12,2020-21,26.5,2.59,7.84,6.46,12.46,11.36,17.88
103,2020-21,,2.61,7.91,,13.28,13.14,18.37
90,2020-21,,,,,,,17.55
23,2020-21,,,,,,,
52,2020-21,,,,,,,
61,2020-21,,,,,,,
63,2020-21,,,,,,,
69,2020-21,,,,,,,
80,2020-21,,,,,,,
97,2020-21,,,,,,,
8,2020-21,25.5,2.7,7.36,6.63,11.29,12.69,18.26
94,2020-21,24.5,2.23,6.92,6.8,13.02,12.3,19.66
46,2020-21,23.0,2.5,7.25,6.88,11.56,11.06,20.12
135,2020-21,25.5,2.62,7.17,6.86,8.48,10.89,20.13
128,2020-21,23.0,2.47,7.1,6.74,7.1,10.34,
17,2020-21,21.5,2.2,6.33,7.0,12.83,12.5,20.03
3,2020-21,22.0,2.35,7.21,7.18,12.46,11.69,20.31
57,2020-21,22.0,2.07,6.62,6.9,10.43,10.99,19.04
79,2020-21,21.5,2.31,6.36,6.93,10.68,11.12,19.95
72,2020-21,24.5,2.39,6.64,7.0,10.38,10.54,21.05
4,2020-21,21.0,2.43,6.3,6.98,11.24,10.88,20.04
44,2020-21,22.0,2.34,6.51,7.16,10.57,11.01,20.28
96,2020-21,25.5,2.4,7.13,7.31,11.46,10.72,21.14
37,2020-21,24.5,2.57,6.28,7.39,12.14,11.7,21.61
83,2020-21,24.0,2.26,6.43,7.16,11.49,10.93,
148,2020-21,20.5,2.26,6.41,7.18,12.25,11.69,20.95
18,2020-21,25.5,2.4,6.93,7.7,12.57,12.11,22.39
109,2020-21,22.5,2.37,6.9,7.24,10.47,10.56,20.56
136,2020-21,23.0,2.2,6.72,7.28,9.75,10.53,20.01
38,2020-21,22.5,2.34,6.85,7.21,8.82,10.19,20.43
84,2020-21,20.5,2.45,6.53,7.29,10.91,10.56,20.12
140,2020-21,21.0,2.28,6.25,7.23,11.76,12.18,21.37
49,2020-21,22.0,2.35,6.61,7.44,11.8,10.39,
7,2020-21,22.5,2.12,6.25,7.27,11.66,10.43,22.36
39,2020-21,21.5,2.16,6.46,7.46,10.61,10.37,
138,2020-21,18.0,2.12,,7.51,11.09,10.18,
56,2020-21,20.5,2.04,,8.16,11.28,10.07,
9,2020-21,19.0,1.9,5.79,7.68,9.81,8.77,22.23
33,2020-21,,,,,,,
89,2020-21,,,,,,,
129,2020-21,,,,,,,
26,2021-22,39.8,3.17,8.89,5.82,14.79,13.34,16.31
20,2021-22,41.3,3.35,10.29,6.03,13.06,13.29,17.15
24,2021-22,37.2,3.21,9.09,6.15,16.18,15.52,17.05
61,2021-22,37.8,3.39,9.95,5.96,15.99,13.89,
67,2021-22,36.0,3.05,8.97,5.97,12.48,12.82,16.76
139,2021-22,36.9,2.99,8.89,6.13,17.08,14.65,17.24
45,2021-22,36.6,2.94,8.58,5.91,13.14,12.46,16.49
90,2021-22,35.6,3.07,8.75,6.16,14.08,13.64,16.92
97,2021-22,37.8,3.03,8.3,6.21,14.19,13.06,17.1
34,2021-22,33.1,2.87,8.17,6.11,14.3,12.72,16.9
1,2021-22,32.9,3.04,8.83,6.23,12.41,13.39,17.03
113,2021-22,35.6,3.01,8.83,6.16,13.35,12.71,17.64
70,2021-22,34.1,2.83,7.95,6.12,12.24,11.23,16.52
65,2021-22,38.0,,,6.24,17.29,14.92,
12,2021-22,30.5,2.79,8.53,6.24,13.46,12.41,17.13
19,2021-22,32.3,2.81,8.61,6.38,14.6,13.49,17.97
88,2021-22,30.8,2.95,8.92,6.29,11.9,10.6,18.2
103,2021-22,28.5,2.8,8.14,6.33,13.43,11.85,17.47
32,2021-22,38.5,3.01,9.08,6.5,11.73,11.28,18.9
85,2021-22,33.3,2.74,8.16,6.57,14.15,13.01,18.02
43,2021-22,30.4,2.73,7.56,6.26,12.61,11.34,18.4
63,2021-22,32.5,2.81,8.14,6.3,11.52,10.2,18.49
81,2021-22,31.7,2.8,8.92,6.71,12.72,12.12,18.91
101,2021-22,28.2,,,7.09,16.25,14.12,
5,2021-22,29.0,2.66,7.43,6.46,11.82,10.76,17.63
52,2021-22,26.6,2.4,7.55,6.49,10.1,10.06,17.59
22,2021-22,29.6,2.61,7.39,6.9,13.06,11.77,
112,2021-22,24.2,,,7.39,13.83,12.03,
69,2021-22,,,,,10.69,11.21,
78,2021-22,,,,,11.16,10.8,
13,2021-22,,,,,,,
8,2021-22,31.8,2.61,7.46,6.41,14.67,12.89,18.02
129,2021-22,27.9,2.52,7.7,6.76,13.37,11.14,20.59
94,2021-22,24.9,2.41,7.03,6.81,12.64,12.73,19.53
135,2021-22,27.5,2.58,7.29,6.81,10.33,11.4,20.31
96,2021-22,31.0,2.58,7.26,7.0,13.17,12.01,
128,2021-22,23.8,2.55,7.2,6.78,9.33,10.02,19.27
4,2021-22,24.6,2.55,6.92,6.92,11.13,10.93,19.27
17,2021-22,23.6,2.39,7.03,6.91,11.93,12.07,19.6
72,2021-22,25.4,2.37,6.89,6.78,10.75,10.91,19.96
95,2021-22,25.5,2.54,7.84,6.87,9.57,9.09,19.6
125,2021-22,24.0,2.17,6.99,6.53,9.25,9.27,18.49
46,2021-22,24.7,2.46,7.12,6.96,12.66,10.65,20.19
89,2021-22,21.1,,,6.61,12.92,10.16,19.29
136,2021-22,26.8,2.42,6.92,7.02,12.75,11.62,20.05
37,2021-22,25.3,2.57,6.48,7.16,12.84,12.33,21.51
109,2021-22,24.6,2.34,6.74,6.98,10.89,10.31,19.94
18,2021-22,25.6,2.46,6.99,7.74,12.6,12.46,22.65
130,2021-22,22.0,2.13,6.08,6.94,9.49,8.72,19.14
111,2021-22,24.0,2.29,6.92,6.99,8.56,9.72,20.08
33,2021-22,25.6,2.44,7.14,,13.1,11.25,
28,2021-22,22.2,2.35,6.7,7.1,10.32,9.72,19.92
57,2021-22,20.8,2.06,6.58,7.03,10.07,10.8,19.3
140,2021-22,23.3,2.24,6.54,7.25,11.49,12.19,21.63
84,2021-22,20.5,2.27,6.46,7.29,12.05,9.95,20.71
39,2021-22,22.1,2.21,6.62,7.48,10.93,10.85,
54,2021-22,19.7,,,,13.17,12.85,
49,2021-22,22.8,2.18,6.48,7.51,11.45,9.61,
