athlete_id,meet_name,meet_date,event,result_distance,result_time,wind
96,Warriors Quad,2026-04-18,LJ,5.31,,
96,Warriors Quad,2026-04-18,TJ,,,
96,Warriors Quad,2026-04-18,SP,10.64,,
96,Warriors Quad,2026-04-18,HT,23.16,,
96,UW-La Crosse Ashton May Invitational,2026-04-03,LJ,,,
96,Joyce Morton-Kief Invite,2026-03-27,TJ,10.77,,(1.3)
96,2026 Horizon League Indoor Track & Field Championship,2026-02-28,TJ,11.32,,
96,Panther Tune-up,2026-02-21,TJ,11.49,,
96,Iowa State Classic,2026-02-06,TJ,10.72,,
96,Tierney Classic,2026-01-18,TJ,11.22,,
96,UW-La Crosse Eagle Open,2024-05-10,TJ,11.89,,(0.1)
96,2024 Horizon League Outdoor Track & Field Championship,2024-05-03,TJ,11.58,,(1.7)
96,Clark Wood Open 2024,2024-04-26,TJ,11.75,,(2.4)
96,Gibson Invitational,2024-04-18,TJ,11.63,,(1.8)
96,2024 Bryan Clay Invitational,2024-04-11,TJ,11.67,,(+0.0)
96,Golden Grizzly T&F Invite,2024-04-06,LJ,5.11,,(4.0)
96,Golden Grizzly T&F Invite,2024-04-06,TJ,,,
96,Raleigh Relays,2024-03-28,TJ,12.09,,(0.5)
96,Horizon League Indoor Track & Field Championship,2024-02-24,LJ,5.41,,
96,Horizon League Indoor Track & Field Championship,2024-02-24,TJ,11.98,,
96,PANTHER TUNE-UP,2024-02-17,LJ,5.38,,
96,PANTHER TUNE-UP,2024-02-17,TJ,12.32,,
96,Mark Guthrie Legacy Invite,2024-02-03,TJ,11.35,,
96,Illini Challenge,2024-01-26,LJ,5.3,,
96,Illini Challenge,2024-01-26,TJ,11.98,,
96,John Tierney Classic,2024-01-20,LJ,5.25,,
96,John Tierney Classic,2024-01-20,TJ,12.16,,
96,Illini Open,2024-01-06,TJ,11.86,,
96,2023 Blue Demon Holiday Invite,2023-12-08,TJ,11.95,,
96,Eagle Open,2023-05-12,TJ,12.12,,(2.2)
96,Horizon League Championship,2023-05-05,TJ,12.11,,(+0.0)
96,Clark Wood Open 2023,2023-04-28,TJ,12.46,,(1.3)
96,Gary Wieneke Memorial,2023-04-21,TJ,,,
96,Gibson Invitational & Multis,2023-04-13,TJ,12.22,,(-0.5)
96,Fighting Illini Challenge,2023-04-08,TJ,11.34,,(2.0)
96,Fighting Illini Challenge,2023-04-08,JT,24.49,,
96,Warrior Invitational,2023-04-06,JT,25.54,,
96,2023 Horizon League Indoor Track & Field Championship,2023-02-25,TJ,11.94,,
96,Mark Guthrie Legacy Invitational,2023-02-04,TJ,11.52,,
96,Jack Johnson Classic,2023-01-27,TJ,11.78,,
96,John Tierney Classic,2023-01-21,TJ,11.79,,
96,Wisconsin Badgers Midwest Invite,2023-01-14,TJ,11.33,,
96,2022 Blue Demon Holiday Invite,2022-12-09,TJ,11.68,,
96,Horizon League Indoor Track & Field Championships,2021-02-26,TJ,11.1,,
96,Horizon League Indoor Track & Field Championships,2021-02-26,Pent,,2897,
96,Horizon League Indoor Track & Field Championships,2021-02-26,60H,,9.43,
96,Horizon League Indoor Track & Field Championships,2021-02-26,HJ,1.42,,
96,Horizon League Indoor Track & Field Championships,2021-02-26,SP,9.68,,
96,Horizon League Indoor Track & Field Championships,2021-02-26,LJ,4.94,,
96,Horizon League Indoor Track & Field Championships,2021-02-26,800,,2:47.60,
96,UW-Parkside Triangular,2021-02-19,55H,,8.74,
96,UW-Parkside Triangular,2021-02-19,HJ,1.4,,
96,Panther Tune-Up,2021-02-14,60H,,10.06,
96,Panther Tune-Up,2021-02-14,TJ,11.24,,
96,UW-Parkside Triangular,2021-02-05,Pent,,2644,
96,UW-Parkside Triangular,2021-02-05,55H,,8.91,
96,UW-Parkside Triangular,2021-02-05,HJ,1.31,,
96,UW-Parkside Triangular,2021-02-05,SP,8.87,,
96,UW-Parkside Triangular,2021-02-05,LJ,4.9,,
96,UW-Parkside Triangular,2021-02-05,800,,2:51.80,
96,John Tierney Classic,2021-01-23,60H,,9.45,
96,John Tierney Classic,2021-01-23,HJ,,,
96,John Tierney Classic,2021-01-23,TJ,11.29,,
96,The Panther Invite,2021-01-09,60H,,9.93,
96,The Panther Invite,2021-01-09,60H,,9.77,
96,The Panther Invite,2021-01-09,TJ,11.18,,
8,Gibson Invitational,2026-04-16,400,,,
8,Gibson Invitational,2026-04-16,100H,,,
8,Duke Invitational,2026-04-10,100H,,13.23,(1.1)
8,Duke Invitational,2026-04-10,400H,,57.12,
8,Raleigh Relays,2026-03-26,100H,,13.45,(-0.4)
8,Raleigh Relays,2026-03-26,400H,,56.27,
