athlete_id,first,last,gender,event_group,tfrrs_url
1,Caleb,Anderson,M,sprints,https://www.tfrrs.org/athletes/8016714/Milwaukee/Caleb_Anderson.html
2,Divine,Aniamaka,M,jumps,https://www.tfrrs.org/athletes/8690909/Milwaukee/Divine_Aniamaka.html
3,Kyra,Arendt,W,jumps,https://www.tfrrs.org/athletes/6589875/Milwaukee/Kyra_Arendt.html
4,Anya,Athan,W,sprints,https://www.tfrrs.org/athletes/6116623/Milwaukee/Anya_Athan.html
5,Evan,Bartelsen,M,jumps,https://www.tfrrs.org/athletes/8016718/Milwaukee/Evan_Bartelsen.html
6,Ty,Bauschelt,M,jumps,https://www.tfrrs.org/athletes/9265408/Milwaukee/Ty_Bauschelt.html
7,Jasmine,Bickerstaff,W,sprints,https://www.tfrrs.org/athletes/6116624/Milwaukee/Jasmine_Bickerstaff.html
8,Natalie,Block,W,multi,https://www.tfrrs.org/athletes/7712279/Milwaukee/Natalie_Block.html
9,Klairissa,Boisvert,W,sprints,https://www.tfrrs.org/athletes/7531570/Milwaukee/Klairissa_Boisvert.html
10,Trevor,Boyer,M,multi,https://www.tfrrs.org/athletes/9265409/Milwaukee/Trevor_Boyer.html
11,Tia,Brennan,W,jumps,https://www.tfrrs.org/athletes/8690924/Milwaukee/Tia_Brennan.html
12,Tony,Bretall,M,multi,https://www.tfrrs.org/athletes/7531559/Milwaukee/Tony_Bretall.html
13,Jack,Browne,M,jumps,https://www.tfrrs.org/athletes/7712266/Milwaukee/Jack_Browne.html
14,Bishop,Bufford,M,jumps,https://www.tfrrs.org/athletes/8329550/Milwaukee/Bishop_Bufford.html
15,Anthony,Buford,M,jumps,https://www.tfrrs.org/athletes/8997140/Milwaukee/Anthony_Buford.html
16,Katie,Burns,W,sprints,https://www.tfrrs.org/athletes/8329634/Milwaukee/Katie_Burns.html
17,Adrienne,Burton,W,sprints,https://www.tfrrs.org/athletes/7033461/Milwaukee/Adrienne_Burton.html
18,Olivia,Busch,W,jumps,https://www.tfrrs.org/athletes/7712280/Milwaukee/Olivia_Busch.html
19,Matthew,Bye,M,multi,https://www.tfrrs.org/athletes/8016723/Milwaukee/Matthew_Bye.html
20,Anthony,Campbell,M,jumps,https://www.tfrrs.org/athletes/8016716/Milwaukee/Anthony_Campbell.html
21,Parker,Carlson,M,sprints,https://www.tfrrs.org/athletes/7033451/Milwaukee/Parker_Carlson.html
22,Brett,Clevidence,M,throws,https://www.tfrrs.org/athletes/7033452/Milwaukee/Brett_Clevidence.html
23,Trevor,Coenen,M,multi,https://www.tfrrs.org/athletes/6116607/Milwaukee/Trevor_Coenen.html
24,Sam,Conger,M,sprints,https://www.tfrrs.org/athletes/7033453/Milwaukee/Sam_Conger.html
25,Vinny,Costa,M,sprints,https://www.tfrrs.org/athletes/9265410/Milwaukee/Vinny_Costa.html
26,Golden,Cotton,M,sprints,https://www.tfrrs.org/athletes/7712267/Milwaukee/Golden_Cotton.html
