athlete_id,practice_date,event,approach,gear,mark_meters,mark_raw,season
93,2020-01-06,TJ,3/4-step,flats,10.03,"32'11""",2019-20
2,2020-01-06,TJ,3/4-step,flats,9.7,"31'10""",2019-20
147,2020-01-06,TJ,3/4-step,flats,13.74,"45'1""",2019-20
126,2020-01-06,TJ,3/4-step,flats,14.17,"46'6""",2019-20
93,2020-01-13,TJ,Short Approach,flats,13.64,"44'9""",2019-20
126,2020-01-13,TJ,Short Approach,flats,8.74,"28'8""",2019-20
147,2020-01-13,TJ,Short Approach,flats,10.64,"34'11""",2019-20
18,2020-01-13,TJ,Short Approach,flats,13.87,"45'6""",2019-20
149,2020-01-20,LJ,6-step,flats,6.22,"20'5""",2019-20
2,2020-01-20,LJ,6-step,flats,5.54,"18'2""",2019-20
93,2020-01-20,LJ,6-step,flats,5.31,"17'5""",2019-20
146,2020-01-20,LJ,6-step,flats,4.6,"15'1""",2019-20
126,2020-01-20,LJ,6-step,flats,6.12,"20'1""",2019-20
20,2020-01-27,TJ,Short Approach,spikes,9.6,"31'6""",2019-20
2,2020-01-27,TJ,Short Approach,spikes,9.35,"30'8""",2019-20
93,2020-01-27,TJ,Short Approach,spikes,11.53,"37'10""",2019-20
95,2020-01-27,TJ,Short Approach,spikes,12.12,"39'9""",2019-20
147,2020-01-27,TJ,Short Approach,spikes,10.64,"34'11""",2019-20
18,2020-01-27,TJ,Short Approach,spikes,9.14,30',2019-20
2,2020-02-03,LJ,8-step,spikes,5.84,"19'2""",2019-20
126,2020-02-03,LJ,7-step,flats,5.77,"18'11""",2019-20
147,2020-02-03,TJ,7-step,spikes,10.24,"33'7""",2019-20
146,2020-02-03,LJ,7-step,flats,5.79,19',2019-20
93,2020-02-03,TJ,8-step,flats,12.29,"40'4""",2019-20
149,2020-02-03,TJ,8-step,spikes,10.62,"34'10""",2019-20
149,2020-02-17,LJ,8-step,flats,5.87,"19'3""",2019-20
141,2020-02-17,LJ,7-step,flats,4.29,"14'1""",2019-20
2,2020-02-17,TJ,8-step,spikes,9.3,"30'6""",2019-20
126,2020-02-17,LJ,8-step,flats,4.52,"14'10""",2019-20
146,2020-02-17,LJ,8-step,spikes,4.67,"15'4""",2019-20
95,2020-02-17,TJ,8-step,spikes,8.81,"28'11""",2019-20
18,2020-02-17,TJ,7-step,flats,11.53,"37'10""",2019-20
147,2020-02-17,TJ,8-step,flats,10.26,"33'8""",2019-20
149,2020-02-24,LJ,8-step,spikes,4.34,"14'3""",2019-20
93,2020-02-24,LJ,8-step,spikes,4.6,"15'1""",2019-20
126,2020-02-24,LJ,8-step,spikes,6.43,"21'1""",2019-20
141,2020-02-24,LJ,8-step,spikes,4.93,"16'2""",2019-20
146,2020-02-24,LJ,8-step,spikes,6.6,"21'8""",2019-20
95,2020-02-24,LJ,8-step,spikes,4.98,"16'4""",2019-20
126,2021-01-06,TJ,3/4-step,flats,13.59,"44'7""",2020-21
132,2021-01-06,TJ,3/4-step,flats,9.53,"31'3""",2020-21
95,2021-01-06,TJ,3/4-step,flats,10.69,"35'1""",2020-21
141,2021-01-06,TJ,3/4-step,flats,11.58,38',2020-21
2,2021-01-06,TJ,3/4-step,flats,14.22,"46'8""",2020-21
147,2021-01-06,TJ,3/4-step,flats,10.9,"35'9""",2020-21
149,2021-01-06,TJ,3/4-step,flats,10.67,35',2020-21
18,2021-01-13,TJ,Short Approach,flats,9.14,30',2020-21
149,2021-01-13,TJ,Short Approach,flats,11.61,"38'1""",2020-21
75,2021-01-13,TJ,Short Approach,flats,13.49,"44'3""",2020-21
126,2021-01-13,TJ,Short Approach,flats,11.23,"36'10""",2020-21
126,2021-01-20,LJ,6-step,flats,6.55,"21'6""",2020-21
132,2021-01-20,LJ,6-step,flats,5.21,"17'1""",2020-21
93,2021-01-20,LJ,6-step,flats,4.83,"15'10""",2020-21
146,2021-01-20,LJ,6-step,flats,6.22,"20'5""",2020-21
20,2021-01-20,LJ,6-step,flats,6.25,"20'6""",2020-21
95,2021-01-20,LJ,6-step,flats,6.68,"21'11""",2020-21
2,2021-01-20,LJ,6-step,flats,4.52,"14'10""",2020-21
75,2021-01-27,TJ,Short Approach,spikes,10.74,"35'3""",2020-21
2,2021-01-27,TJ,Short Approach,spikes,10.57,"34'8""",2020-21
147,2021-01-27,TJ,Short Approach,spikes,12.85,"42'2""",2020-21
76,2021-01-27,TJ,Short Approach,spikes,12.55,"41'2""",2020-21
20,2021-02-03,TJ,7-step,spikes,10.72,"35'2""",2020-21
126,2021-02-03,LJ,8-step,flats,5.33,"17'6""",2020-21
76,2021-02-03,TJ,8-step,spikes,8.69,"28'6""",2020-21
95,2021-02-03,LJ,8-step,spikes,6.38,"20'11""",2020-21
132,2021-02-03,TJ,7-step,flats,11.35,"37'3""",2020-21
149,2021-02-03,TJ,8-step,spikes,8.84,29',2020-21
75,2021-02-03,TJ,7-step,flats,13.44,"44'1""",2020-21
146,2021-02-17,TJ,7-step,flats,14.25,"46'9""",2020-21
76,2021-02-17,TJ,8-step,spikes,14.25,"46'9""",2020-21
149,2021-02-17,LJ,7-step,spikes,5.87,"19'3""",2020-21
126,2021-02-17,LJ,7-step,spikes,5.66,"18'7""",2020-21
2,2021-02-17,TJ,7-step,flats,13.03,"42'9""",2020-21
132,2021-02-24,LJ,8-step,spikes,5.0,"16'5""",2020-21
