first,last,meet_name,meet_date,event,result,wind,feet
Adaline,Powell,Joyce Morton-Kief Invite,"Mar 27-28, 2026",TJ,10.77m,(1.3),"35' 4"""
Adaline,Powell,2026 Horizon League Indoor Track & Field Championship,"Feb 28-Mar  1, 2026",TJ,11.32m,,"37' 1.75"""
Adaline,Powell,Panther Tune-up,"Feb 21, 2026",TJ,11.49m,,"37' 8.5"""
Adaline,Powell,Iowa State Classic,"Feb  6, 2026",TJ,10.72m,,"35' 2"""
Adaline,Powell,Tierney Classic,"Jan 18, 2026",TJ,11.22m,,"36' 9.75"""
Adaline,Powell,UW-La Crosse Eagle Open,"May 10, 2024",TJ,11.89m,(0.1),"39' 0.25"""
Adaline,Powell,2024 Horizon League Outdoor Track & Field Championship,"May  3- 5, 2024",TJ,11.58m,(1.7),"38' 0"""
Adaline,Powell,Clark Wood Open 2024,"Apr 26-27, 2024",TJ,11.75m,(2.4),"38' 6.75"""
Adaline,Powell,Gibson Invitational,"Apr 18-20, 2024",TJ,11.63m,(1.8),"38' 2"""
Adaline,Powell,2024 Bryan Clay Invitational,"Apr 11-13, 2024",TJ,11.67m,(+0.0),"38' 3.5"""
Adaline,Powell,Golden Grizzly T&F Invite,"Apr  6, 2024",LJ,5.11m,(4.0),"16' 9.25"""
Adaline,Powell,Golden Grizzly T&F Invite,"Apr  6, 2024",TJ,FOUL,,NM
Adaline,Powell,Raleigh Relays,"Mar 28-30, 2024",TJ,12.09m,(0.5),"39' 8"""
Adaline,Powell,Horizon League Indoor Track & Field Championship,"Feb 24-25, 2024",LJ,5.41m,,"17' 9"""
Adaline,Powell,Horizon League Indoor Track & Field Championship,"Feb 24-25, 2024",TJ,11.98m,,"39' 3.75"""
Adaline,Powell,PANTHER TUNE-UP,"Feb 17, 2024",LJ,5.38m,,"17' 8"""
Adaline,Powell,PANTHER TUNE-UP,"Feb 17, 2024",TJ,12.32m,,"40' 5"""
Adaline,Powell,Mark Guthrie Legacy Invite,"Feb  3, 2024",TJ,11.35m,,"37' 3"""
Adaline,Powell,Illini Challenge,"Jan 26-27, 2024",LJ,5.30m,,"17' 4.75"""
Adaline,Powell,Illini Challenge,"Jan 26-27, 2024",TJ,11.98m,,"39' 3.75"""
Adaline,Powell,John Tierney Classic,"Jan 20, 2024",LJ,5.25m,,"17' 2.75"""
Adaline,Powell,John Tierney Classic,"Jan 20, 2024",TJ,12.16m,,"39' 10.75"""
Adaline,Powell,Illini Open,"Jan  6, 2024",TJ,11.86m,,"38' 11"""
Adaline,Powell,2023 Blue Demon Holiday Invite,"Dec  8, 2023",TJ,11.95m,,"39' 2.5"""
Adaline,Powell,Eagle Open,"May 12, 2023",TJ,12.12m,(2.2),"39' 9.25"""
Adaline,Powell,Horizon League Championship,"May  5- 7, 2023",TJ,12.11m,(+0.0),"39' 8.75"""
Adaline,Powell,Clark Wood Open 2023,"Apr 28-29, 2023",TJ,12.46m,(1.3),"40' 10.5"""
Adaline,Powell,Gary Wieneke Memorial,"Apr 21-22, 2023",TJ,FOUL,,NM
Adaline,Powell,Gibson Invitational & Multis,"Apr 13-15, 2023",TJ,12.22m,(-0.5),"40' 1.25"""
Adaline,Powell,Fighting Illini Challenge,"Apr  8, 2023",TJ,11.34m,(2.0),"37' 2.5"""
Adaline,Powell,Fighting Illini Challenge,"Apr  8, 2023",JT,24.49m,,"80' 4"""
Adaline,Powell,Warrior Invitational,"Apr  6, 2023",JT,25.54m,,"83' 9"""
Adaline,Powell,2023 Horizon League Indoor Track & Field Championship,"Feb 25-26, 2023",TJ,11.94m,,"39' 2.25"""
Adaline,Powell,Mark Guthrie Legacy Invitational,"Feb  4, 2023",TJ,11.52m,,"37' 9.5"""
Adaline,Powell,Jack Johnson Classic,"Jan 27-28, 2023",TJ,11.78m,,"38' 7.75"""
Adaline,Powell,John Tierney Classic,"Jan 21, 2023",TJ,11.79m,,"38' 8.25"""
Adaline,Powell,Wisconsin Badgers Midwest Invite,"Jan 14, 2023",TJ,11.33m,,"37' 2.25"""
Adaline,Powell,2022 Blue Demon Holiday Invite,"Dec  9, 2022",TJ,11.68m,,"38' 4"""
Adaline,Powell,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",TJ,11.10m,,"36' 5"""
Adaline,Powell,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",Pent,2897,,
Adaline,Powell,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",60H,9.43,,
Adaline,Powell,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",HJ,1.42m,,"4' 7.75"""
Adaline,Powell,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",SP,9.68m,,"31' 9.25"""
Adaline,Powell,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",LJ,4.94m,,"16' 2.5"""
Adaline,Powell,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",800,2:47.60,,
Adaline,Powell,UW-Parkside Triangular,"Feb 19-20, 2021",55H,8.74,,
Adaline,Powell,UW-Parkside Triangular,"Feb 19-20, 2021",HJ,1.40m,,"4' 7"""
Adaline,Powell,Panther Tune-Up,"Feb 14, 2021",60H,10.06,,
Adaline,Powell,Panther Tune-Up,"Feb 14, 2021",TJ,11.24m,,"36' 10.5"""
Adaline,Powell,UW-Parkside Triangular,"Feb  5- 6, 2021",Pent,2644,,
Adaline,Powell,UW-Parkside Triangular,"Feb  5- 6, 2021",55H,8.91,,
Adaline,Powell,UW-Parkside Triangular,"Feb  5- 6, 2021",HJ,1.31m,,"4' 3.5"""
Adaline,Powell,UW-Parkside Triangular,"Feb  5- 6, 2021",SP,8.87m,,"29' 1.25"""
Adaline,Powell,UW-Parkside Triangular,"Feb  5- 6, 2021",LJ,4.90m,,"16' 1"""
Adaline,Powell,UW-Parkside Triangular,"Feb  5- 6, 2021",800,2:51.80,,
Adaline,Powell,John Tierney Classic,"Jan 23, 2021",60H,9.45,,
Adaline,Powell,John Tierney Classic,"Jan 23, 2021",HJ,NH,,NH
Adaline,Powell,John Tierney Classic,"Jan 23, 2021",TJ,11.29m,,"37' 0.5"""
Adaline,Powell,The Panther Invite,"Jan  9, 2021",60H,9.93,,
Adaline,Powell,The Panther Invite,"Jan  9, 2021",60H,9.77,,
Adaline,Powell,The Panther Invite,"Jan  9, 2021",TJ,11.18m,,"36' 8.25"""
Natalie,Block,Raleigh Relays,"Mar 26-28, 2026",100H,13.45,(-0.4),
Natalie,Block,Raleigh Relays,"Mar 26-28, 2026",400H,56.27,,
Natalie,Block,NCAA Division I Outdoor Track & Field Championships,"Jun 11-14, 2025",400H,56.92,,
Natalie,Block,NCAA Division I West First Round,"May 28-31, 2025",100H,13.21,(1.3),
Natalie,Block,NCAA Division I West First Round,"May 28-31, 2025",100H,13.31,(0.3),
Natalie,Block,NCAA Division I West First Round,"May 28-31, 2025",400H,56.95,,
Natalie,Block,NCAA Division I West First Round,"May 28-31, 2025",400H,57.46,,
Natalie,Block,Horizon League Championship,"May  9-11, 2025",100H,13.16,(2.4),
Natalie,Block,Horizon League Championship,"May  9-11, 2025",100H,13.21,(1.5),
Natalie,Block,Horizon League Championship,"May  9-11, 2025",400H,57.86,,
Natalie,Block,Horizon League Championship,"May  9-11, 2025",400H,57.71,,
Natalie,Block,Jim Green Invitational,"May  2- 3, 2025",100H,13.54,(-0.6),
Natalie,Block,Jim Green Invitational,"May  2- 3, 2025",100H,13.59,(1.4),
Natalie,Block,Jim Green Invitational,"May  2- 3, 2025",400H,57.85,,
Natalie,Block,Fighting Illini Twilight,"Apr 26, 2025",100H,13.73,(3.2),
Natalie,Block,Fighting Illini Twilight,"Apr 26, 2025",400H,58.71,,
Natalie,Block,UW-Whitewater Drake Alternative,"Apr 24, 2025",400H,58.46,,
Natalie,Block,Gibson Invitational,"Apr 17-19, 2025",100H,13.68,(0.1),
Natalie,Block,Duke Invitational,"Apr 10-12, 2025",400H,57.84,,
Natalie,Block,NCAA West First Round,"May 22-25, 2024",100H,13.22,(2.5),
Natalie,Block,NCAA West First Round,"May 22-25, 2024",100H,13.23,(1.0),
Natalie,Block,NCAA West First Round,"May 22-25, 2024",400H,57.02,,
Natalie,Block,NCAA West First Round,"May 22-25, 2024",400H,57.90,,
Natalie,Block,UW-La Crosse Eagle Open,"May 10, 2024",100H,13.28,(1.2),
Natalie,Block,UW-La Crosse Eagle Open,"May 10, 2024",100H,13.42,(-0.3),
Natalie,Block,2024 Horizon League Outdoor Track & Field Championship,"May  3- 5, 2024",100H,13.27,(2.4),
Natalie,Block,2024 Horizon League Outdoor Track & Field Championship,"May  3- 5, 2024",100H,13.38,(0.7),
Natalie,Block,2024 Horizon League Outdoor Track & Field Championship,"May  3- 5, 2024",400H,57.51,,
Natalie,Block,2024 Horizon League Outdoor Track & Field Championship,"May  3- 5, 2024",400H,58.08,,
Natalie,Block,Clark Wood Open 2024,"Apr 26-27, 2024",100H,13.14,(2.4),
Natalie,Block,Clark Wood Open 2024,"Apr 26-27, 2024",100H,13.33,(1.9),
Natalie,Block,Clark Wood Open 2024,"Apr 26-27, 2024",400H,57.68,,
Natalie,Block,Gibson Invitational,"Apr 18-20, 2024",100H,13.44,(1.2),
Natalie,Block,Gibson Invitational,"Apr 18-20, 2024",400H,58.34,,
Natalie,Block,2024 Bryan Clay Invitational,"Apr 11-13, 2024",100H,13.52,(-1.8),
Natalie,Block,2024 Bryan Clay Invitational,"Apr 11-13, 2024",400H,58.67,,
Natalie,Block,Golden Grizzly T&F Invite,"Apr  6, 2024",100H,13.54,(2.6),
Natalie,Block,Golden Grizzly T&F Invite,"Apr  6, 2024",100H,13.60,(2.3),
Natalie,Block,Golden Grizzly T&F Invite,"Apr  6, 2024",400H,59.13,,
Natalie,Block,Raleigh Relays,"Mar 28-30, 2024",100H,13.29,(2.1),
Natalie,Block,Horizon League Indoor Track & Field Championship,"Feb 24-25, 2024",400,55.08,,
Natalie,Block,Horizon League Indoor Track & Field Championship,"Feb 24-25, 2024",400,55.81,,
Natalie,Block,Horizon League Indoor Track & Field Championship,"Feb 24-25, 2024",60H,8.34,,
